Year	Carbón negro	Carbón marrón	Ciclo combinado	Gas máximo	Almacenamiento disponible	Energía eólica	Energía fotovoltaica
2021-22	18336	4820	4286	6813	582	9005	14730
2022-23	17861	4820	4046	6813	1023	10093	16559
2023-24	15386	4820	3866	6813	1311	10319	17930
2024-25	14826	4820	3866	6813	1765	10444	19861
2025-26	12106	4120	3866	6813	1764	12237	20991
2026-27	11656	3030	3866	6813	1834	14210	21632
2027-28	11656	1910	3866	6813	1997	17161	22451
2028-29	10956	1535	3481	6813	2177	17455	23650
2029-30	10956	1160	3481	6813	2381	18038	24434
2030-31	9816	1160	3481	6430	2579	21200	25096
2031-32	7776	1160	3481	6430	2775	23206	26503
2032-33	5596	1160	3481	6196	2975	27637	27080
2033-34	5596	1160	3481	5734	3188	27519	27890
2034-35	5596	1160	3481	5617	3425	27663	28606
2035-36	2016	1160	2681	5487	3694	31457	30690
2036-37	2016	0	2681	5487	3988	32836	31680
2037-38	2016	0	2152	5487	4296	35247	32566
2038-39	2016	0	2152	5487	4634	34638	33158
2039-40	2016	0	1509	5047	5001	34937	33713
2040-41	2016	0	1509	4927	5341	35341	35085
2041-42	1272	0	1509	4927	5702	35293	36571
