Year	Carbón negro	Carbón marrón	Ciclo combinado	Gas natural	Almacenamiento disponible	Energía eólica	Energía fotovoltaica
2021-22	18336	4820	4286	6813	1224	9005	9149
2022-23	17861	4820	4046	6813	1231	10093	9282
2023-24	16386	4820	3866	6813	1220	10093	9419
2024-25	16386	4820	3866	6813	3250	10232	9649
2025-26	16386	4820	3866	6813	3241	10552	9886
2026-27	16386	4820	3866	6813	3233	10872	10115
2027-28	16386	4820	3866	6813	3226	11192	10360
2028-29	15686	4820	3481	6813	3219	11512	10599
2029-30	14366	4470	3481	6813	3213	11742	10837
2030-31	14366	4120	3481	6430	3178	11696	11119
2031-32	14366	3745	3481	6430	3183	11696	11676
2032-33	11486	3370	3481	6196	3435	11696	12210
2033-34	11486	3370	3481	5734	3393	11417	12788
2034-35	11486	3370	3481	5617	3603	11417	13210
2035-36	10366	3370	2681	5487	5027	11777	13788
2036-37	10366	3370	2681	5487	5151	11476	14167
2037-38	10366	3370	2152	5624	5610	11033	14605
2038-39	10366	3370	2152	5624	5977	10424	15020
2039-40	10366	3370	1509	5502	6331	9945	15460
2040-41	10366	3370	1509	5382	6344	10259	16089
2041-42	10366	3370	1509	5382	8418	10210	16720
