COD,Municipio,Participación,%PSOE,%Podemos,%Más Madrid
28020,Berzosa del Lozoya,53.59116022,17.70833333,14.58333333,18.75
28106,Parla,58.08111689,33.12597887,9.022125163,15.33099508
28040,Ciempozuelos,58.46699105,31.15723923,7.898287494,11.67618059
28043,Colmenar de Oreja,59.0232859,31.70460855,5.108273182,7.134925042
28100,Nuevo Baztán,61.72811581,25.35938076,9.62034648,12.27423516
28058,Fuenlabrada,62.27034446,38.68031076,6.824326637,15.05070901
28013,Aranjuez,62.31807356,30.11496039,5.468385894,13.48454249
28084,Mejorada del Campo,62.92225534,33.34988579,7.726685868,14.57940213
28092,Móstoles,63.24241951,32.23934029,6.59706774,14.4543658
28086,El Molar,63.42319055,27.1713615,3.90258216,10.47535211
28168,El Vellón,63.84730539,34.03755869,5.516431925,8.333333333
28050,Cubas de la Sagra,64.15352981,21.42601218,4.872805446,9.243998567
28047,Collado Villalba,64.16709428,27.2201902,6.378931968,15.53035845
28073,Humanes de Madrid,64.45858872,29.88223749,5.802257115,12.65947007
28014,Arganda del Rey,64.69088778,31.76947978,5.352664934,12.3694889
28032,Camarma de Esteruelas,64.75133743,31.42237372,5.33002789,9.513480012
28004,El Álamo,65.00991005,29.68381312,5.568664464,8.352996697
28132,San Martín de la Vega,65.06832298,37.04699705,7.043155334,10.92329364
28161,Valdemoro,65.11258996,25.31891375,4.827771637,13.86191856
28179,Villar del Olmo,65.33149171,24.25847458,5.61440678,11.12288136
28109,Pelayos de la Presa,65.39408867,24.21652422,6.647673314,5.413105413
28096,Navalcarnero,65.40222368,33.61214374,4.623605948,8.960656753
28170,Villaconejos,65.50480769,31.19209389,9.450277949,5.867819642
28036,Casarrubuelos,65.69724087,24.55536431,10.15490534,13.71199082
28005,Alcalá de Henares,65.70654687,32.2844634,5.956443646,12.32038617
28088,Montejo de la Sierra,65.97222222,34.39153439,11.11111111,14.28571429
28045,Colmenar Viejo,66.08183825,26.10324192,5.751926637,13.1011323
28131,San Lorenzo de El Escorial,66.26595429,25.27027027,5.844594595,11.18243243
28002,Ajalvir,66.34176058,24.56140351,3.739612188,10.34164358
28015,Arroyomolinos,66.52220491,22.56998016,5.738006025,12.21071192
28148,Torrejón de Ardoz,66.52923749,27.25048009,6.089084513,13.4238567
28083,Meco,66.63224207,26.6770428,6.739299611,11.67315175
28074,Leganés,66.64014775,34.76356705,7.627318285,16.02561357
28141,Sevilla la Nueva,66.752,20.87859039,4.948105238,12.69611393
28154,Torres de la Alameda,66.87183201,35.40016389,4.616225075,9.45096968
28066,Griñón,66.93205945,19.41071073,3.981684252,8.799522198
28134,San Sebastián de los Reyes,67.053653,28.51549601,5.186565404,14.19642436
28091,Morata de Tajuña,67.31716214,35.10696654,6.335710368,6.692265496
28172,Villalbilla,67.37327189,21.58657513,5.293668955,10.99923722
28160,Valdemorillo,67.39986108,23.69832209,5.258605778,10.79398028
28129,San Agustín del Guadalix,67.57480498,24.09012132,4.263431542,10.06932409
28009,Algete,67.6334826,24.68567924,4.507819687,10.66135132
28006,Alcobendas,67.79301885,28.11526194,4.632107636,11.08443011
28108,Pedrezuela,67.99341202,25.37555826,8.485586683,11.93666261
28061,Galapagar,68.05131608,24.4959217,5.513866232,13.47471452
