Codmun,Municipio,Autonómicas,Municipales,Generales,
28001,La Acebeda,PSOE,PSOE,PODEMOS-IU,
28002,Ajalvir,PSOE,PSOE,PSOE,
28003,Alameda del Valle,PSOE,PSOE,PSOE,
28004,El Álamo,PSOE,PSOE,PSOE,
28005,Alcalá de Henares,PSOE,PSOE,PSOE,
28006,Alcobendas,PSOE,PSOE,PSOE,
28007,Alcorcón,PSOE,PSOE,PSOE,
28008,Aldea del Fresno,PSOE,PSOE,PSOE,
28009,Algete,PSOE,PSOE,PSOE,
28010,Alpedrete,PSOE,PSOE,PSOE,
28011,Ambite,PSOE,PSOE,PSOE,
28012,Anchuelo,PSOE,PSOE,PSOE,
28013,Aranjuez,PSOE,PSOE,PSOE,
28014,Arganda del Rey,PSOE,PSOE,PSOE,
28015,Arroyomolinos,PSOE,PSOE,PSOE,
28016,El Atazar,PSOE,PSOE,PSOE,
28017,Batres,PSOE,PSOE,PSOE,
28018,Becerril de la Sierra,PSOE,PSOE,PSOE,
28019,Belmonte de Tajo,PSOE,PSOE,PSOE,
28020,Berzosa del Lozoya,MÁS MADRID,PSOE,PSOE,
28021,El Berrueco,PSOE,PSOE,PODEMOS-IU,
28022,Boadilla del Monte,PSOE,PSOE,PSOE,
28023,El Boalo,PSOE,PSOE,PSOE,
28024,Braojos,PSOE,PSOE,PSOE,
28025,Brea de Tajo,PSOE,PSOE,PSOE,
28026,Brunete,PSOE,PSOE,PSOE,
28027,Buitrago del Lozoya,PSOE,PSOE,PSOE,
28028,Bustarviejo,PSOE,PSOE,PODEMOS-IU,
28029,Cabanillas de la Sierra,PSOE,PSOE,PSOE,
28030,La Cabrera,PSOE,PSOE,PSOE,
28031,Cadalso de los Vidrios,PSOE,PSOE,PSOE,
28032,Camarma de Esteruelas,PSOE,PSOE,PSOE,
28033,Campo Real,PSOE,PSOE,PSOE,
28034,Canencia,PSOE,PSOE,PSOE,
28035,Carabaña,PSOE,PSOE,PSOE,
28036,Casarrubuelos,PSOE,PSOE,PSOE,
28037,Cenicientos,PSOE,PSOE,PSOE,
28038,Cercedilla,PSOE,PSOE,PSOE,
28039,Cervera de Buitrago,PSOE,PSOE,PSOE,
28040,Ciempozuelos,PSOE,PSOE,PSOE,
28041,Cobeña,PSOE,PSOE,PSOE,
28042,Colmenar del Arroyo,PSOE,PSOE,PSOE,
28043,Colmenar de Oreja,PSOE,PSOE,PSOE,
28044,Colmenarejo,PSOE,PSOE,PSOE,
28045,Colmenar Viejo,PSOE,PSOE,PSOE,
28046,Collado Mediano,PSOE,PSOE,PSOE,
28047,Collado Villalba,PSOE,PSOE,PSOE,
28048,Corpa,PSOE,PSOE,PSOE,
28049,Coslada,PSOE,PSOE,PSOE,
28050,Cubas de la Sagra,PSOE,PSOE,PSOE,
28051,Chapinería,PSOE,PSOE,PSOE,
28052,Chinchón,PSOE,PSOE,PSOE,
28053,Daganzo de Arriba,PSOE,PSOE,PSOE,
28054,El Escorial,PSOE,PSOE,PSOE,
28055,Estremera,PSOE,PSOE,PSOE,
28056,Fresnedillas de la Oliva,PSOE,PODEMOS-IU,PSOE,
28057,Fresno de Torote,PSOE,PODEMOS-IU,PSOE,
28058,Fuenlabrada,PSOE,PSOE,PSOE,
28059,Fuente el Saz de Jarama,PSOE,PSOE,PSOE,
28060,Fuentidueña de Tajo,PSOE,PSOE,PSOE,
28061,Galapagar,PSOE,PSOE,PSOE,
28062,Garganta de los Montes,PSOE,PSOE,PSOE,
28063,Gargantilla del Lozoya y Pinilla de Buitrago,PSOE,PSOE,PSOE,
28064,Gascones,PSOE,PSOE,PSOE,
28065,Getafe,PSOE,PSOE,PSOE,
28066,Griñón,PSOE,PSOE,PSOE,
28067,Guadalix de la Sierra,PSOE,PSOE,PSOE,
28068,Guadarrama,PSOE,PSOE,PSOE,
28069,La Hiruela,PSOE,PSOE,PODEMOS-IU,
