Cusec;CodMun;Municipio;Provincia;RM por persona 2017_custom;% ingresos salario
0801904023;08019;Barcelona;Barcelona;30210;50,85128353
0801904024;08019;Barcelona;Barcelona;30210;53,96266896
0801904050;08019;Barcelona;Barcelona;30210;48,88647206
0801904052;08019;Barcelona;Barcelona;30210;50,2426135
0801904055;08019;Barcelona;Barcelona;30210;55,8821569
0801904056;08019;Barcelona;Barcelona;30210;56,18800822
0801905004;08019;Barcelona;Barcelona;30210;55,72873529
0801905006;08019;Barcelona;Barcelona;30210;57,06765894
0801905017;08019;Barcelona;Barcelona;30210;52,38841978
0801905022;08019;Barcelona;Barcelona;30210;52,94361122
0801905024;08019;Barcelona;Barcelona;30210;55,83005927
0801905025;08019;Barcelona;Barcelona;30210;56,80858272
0801905026;08019;Barcelona;Barcelona;30210;57,10782644
0801905027;08019;Barcelona;Barcelona;30210;55,32990084
0801905028;08019;Barcelona;Barcelona;30210;53,28733963
0801905029;08019;Barcelona;Barcelona;30210;57,83531468
0801905030;08019;Barcelona;Barcelona;30210;56,47566014
0801905031;08019;Barcelona;Barcelona;30210;55,15789474
0801905032;08019;Barcelona;Barcelona;30210;57,29907053
0801905035;08019;Barcelona;Barcelona;30210;45,2497646
0801905036;08019;Barcelona;Barcelona;30210;53,75403916
0801905046;08019;Barcelona;Barcelona;30210;49,03196865
0801905049;08019;Barcelona;Barcelona;30210;54,33502293
0801905052;08019;Barcelona;Barcelona;30210;56,87023764
0801905053;08019;Barcelona;Barcelona;30210;56,22443277
0801905054;08019;Barcelona;Barcelona;30210;56,98232895
0801905055;08019;Barcelona;Barcelona;30210;55,60173313
0801905058;08019;Barcelona;Barcelona;30210;48,80091942
0801905060;08019;Barcelona;Barcelona;30210;55,14101194
0805604003;08056;Castelldefels;Barcelona;30210;59,05472987
0807705001;08077;Esplugues de Llobregat;Barcelona;30210;57,89522143
0808901008;08089;Gavà;Barcelona;30210;68,18292716
1204002008;12040;Castelló de la Plana;Castellón/Castelló;30210;76,52660724
1503003001;15030;Coruña, A;Coruña, A;30210;55,17604475
1721601001;17216;Viladasens;Girona;30210;38,93368969
2006906007;20069;Donostia/San Sebastián;Gipuzkoa;30210;
2800601033;28006;Alcobendas;Madrid;30210;59,6047206
2800601034;28006;Alcobendas;Madrid;30210;57,2755841
2800601035;28006;Alcobendas;Madrid;30210;53,04091101
2800601036;28006;Alcobendas;Madrid;30210;56,5289702
2800601040;28006;Alcobendas;Madrid;30210;56,15413811
2800601041;28006;Alcobendas;Madrid;30210;63,14679521
2800601048;28006;Alcobendas;Madrid;30210;55,66941856
2800601059;28006;Alcobendas;Madrid;30210;67,02910138
2802201002;28022;Boadilla del Monte;Madrid;30210;44,22042295
2802201004;28022;Boadilla del Monte;Madrid;30210;60,60722892
2807901073;28079;Madrid;Madrid;30210;61,9873817
