cusec;Municipio;Censo Total;Votos Totales;Votos Blancos;Votos Nulos;Participación;Votos Válidos;Primera fuerza;% PF;Segunda Fuerza;% SF;Tercera fuerza;%TF;% PP;% PSOE;% MÁS MADRID;% Cs;% Podemos;% VOX;Izquierda;Derecha;Bloque Gana;1F 2019;% 1F 2019
2800601040;Alcobendas;1294;1101;6;1;85,09;1100;PP;83,09;VOX;11,27;PSOE;2;83,09;2;1,55;1;0,18;11,27;3,73;95,36;Derecha; PP;61,37
2800601035;Alcobendas;555;450;1;2;81,08;448;PP;81,7;VOX;12,95;Cs;2,23;81,7;1,34;0,89;2,23;0,22;12,95;2,45;96,88;Derecha; PP;62,72
2807916091;Madrid;1575;1411;1;1;89,59;1410;PP;81,21;VOX;10,78;Cs;3,05;81,21;2,7;1,99;3,05;0,14;10,78;4,83;95,04;Derecha; PP;49,55
2807916123;Madrid;1284;1165;3;1;90,73;1164;PP;81,1;VOX;10,4;Cs;3,26;81,1;2,23;2,49;3,26;0,26;10,4;4,98;94,76;Derecha; PP;44,94
2800601059;Alcobendas;1758;1526;0;3;86,8;1523;PP;80,11;VOX;10,24;Cs;3,22;80,11;3,09;2,5;3,22;0,59;10,24;6,18;93,57;Derecha; PP;44,77
2807904114;Madrid;1053;907;2;6;86,13;901;PP;79,8;VOX;11,32;PSOE;2,66;79,8;2,66;2,11;2,55;1,22;11,32;5,99;93,67;Derecha; PP;59,03
2811501031;Pozuelo de Alarcón;1930;1658;0;2;85,91;1656;PP;79,47;VOX;13,83;Cs;2,9;79,47;1,81;1,39;2,9;0,42;13,83;3,62;96,2;Derecha; PP;53,74
2800601036;Alcobendas;1359;1157;1;1;85,14;1156;PP;79,33;VOX;15,66;PSOE;1,82;79,33;1,82;1,12;1,56;0,35;15,66;3,29;96,55;Derecha; PP;64,7
2807906064;Madrid;593;526;0;0;88,7;526;PP;79,09;VOX;10,84;MÁS MADRID;4,75;79,09;2,66;4,75;2,09;0,38;10,84;7,79;92,02;Derecha; PP;55,77
2807905077;Madrid;1018;879;0;3;86,35;876;PP;78,77;VOX;9,59;Cs;4,11;78,77;3,65;3,08;4,11;0,46;9,59;7,19;92,47;Derecha; PP;49,87
2807905006;Madrid;975;840;2;2;86,15;838;PP;78,76;VOX;11,22;PSOE;4,06;78,76;4,06;2,39;2,86;0,36;11,22;6,81;92,84;Derecha; PP;55,71
2800601048;Alcobendas;1469;1273;4;1;86,66;1272;PP;78,69;VOX;11,79;PSOE;3,93;78,69;3,93;1,65;2,52;0,79;11,79;6,37;93;Derecha; PP;52,75
2807905001;Madrid;875;764;1;1;87,31;763;PP;78,64;VOX;12,58;PSOE;3,93;78,64;3,93;1,7;2,36;0,52;12,58;6,15;93,58;Derecha; PP;58,32
2800601041;Alcobendas;1391;1196;1;1;85,98;1195;PP;77,74;VOX;12,38;PSOE;4,27;77,74;4,27;1,84;3,1;0,25;12,38;6,36;93,22;Derecha; PP;52,88
2807909086;Madrid;1293;1161;1;2;89,79;1159;PP;77,74;VOX;12,77;PSOE;3,54;77,74;3,54;2,24;2,85;0,69;12,77;6,47;93,36;Derecha; PP;51,53
2811501010;Pozuelo de Alarcón;997;876;1;1;87,86;875;PP;77,6;VOX;13,71;PSOE;4,11;77,6;4,11;1,37;2,06;1,03;13,71;6,51;93,37;Derecha; PP;54,53
2807909078;Madrid;1535;1308;3;0;85,21;1308;PP;77,29;VOX;14,45;PSOE;2,68;77,29;2,68;2,14;2,45;0,61;14,45;5,43;94,19;Derecha; PP;58
2807905008;Madrid;1076;934;6;2;86,8;932;PP;77,04;VOX;11,48;MÁS MADRID;3,65;77,04;3,22;3,65;2,58;1,07;11,48;7,94;91,1;Derecha; PP;56,73
2800601034;Alcobendas;941;831;0;0;88,31;831;PP;77,02;VOX;13,72;PSOE;3,85;77,02;3,85;1,32;3,49;0,24;13,72;5,41;94,23;Derecha; PP;54,51
2807905002;Madrid;1183;981;1;1;82,92;980;PP;76,94;VOX;13,16;MÁS MADRID;3,88;76,94;3,47;3,88;1,84;0,51;13,16;7,86;91,94;Derecha; PP;54,57
2807905003;Madrid;1510;1309;7;3;86,69;1306;PP;76,72;VOX;11,41;PSOE;4,29;76,72;4,29;3,22;2,68;1;11,41;8,51;90,81;Derecha; PP;55,47
2807904004;Madrid;727;603;2;2;82,94;601;PP;76,71;VOX;10,82;PSOE;3,99;76,71;3,99;3,83;2,66;1,33;10,82;9,15;90,19;Derecha; PP;57,04
2800601033;Alcobendas;1422;1238;3;3;87,06;1235;PP;76,68;VOX;13,52;PSOE;4,21;76,68;4,21;2,19;2,75;0,24;13,52;6,64;92,95;Derecha; PP;53,31
2802201002;Boadilla del Monte;637;544;1;1;85,4;543;PP;76,61;VOX;10,87;PSOE;4,05;76,61;4,05;2,39;3,5;1,84;10,87;8,28;90,98;Derecha; PP;55,11
2807905005;Madrid;1091;964;2;1;88,36;963;PP;76,43;VOX;13,81;PSOE;3,74;76,43;3,74;2,18;2,6;0,83;13,81;6,75;92,84;Derecha; PP;47,91
2807904009;Madrid;1421;1217;0;3;85,64;1214;PP;76,36;VOX;12,69;PSOE;3,95;76,36;3,95;2,88;2,64;1,24;12,69;8,07;91,69;Derecha; PP;59,06
2807909091;Madrid;1203;989;0;5;82,21;984;PP;76,22;VOX;14,74;Cs;3,05;76,22;3,05;2,13;3,05;0,3;14,74;5,48;94,01;Derecha; PP;45,54
2807909073;Madrid;1888;1710;4;3;90,57;1707;PP;76,1;VOX;11,36;PSOE;4,39;76,1;4,39;3,46;3,81;0,47;11,36;8,32;91,27;Derecha; PP;50,1
2807904002;Madrid;760;628;1;1;82,63;627;PP;76,08;VOX;10,53;PSOE;5,26;76,08;5,26;4,31;3,03;0,32;10,53;9,89;89,64;Derecha; PP;49,92
2807905004;Madrid;1150;1010;2;2;87,83;1008;PP;75,99;VOX;14,19;PSOE;3,57;75,99;3,57;1,88;2,98;0,79;14,19;6,24;93,16;Derecha; PP;57,24
2807905069;Madrid;693;585;1;2;84,42;583;PP;75,99;VOX;13,04;Cs;3,26;75,99;3,09;3,09;3,26;0,69;13,04;6,87;92,29;Derecha; PP;50,46
2807904005;Madrid;588;483;2;1;82,14;482;PP;75,73;VOX;11,2;PSOE;3,73;75,73;3,73;3,11;3,32;2,07;11,2;8,91;90,25;Derecha; PP;51,46
2807905075;Madrid;1253;1071;1;0;85,47;1071;PP;75,72;VOX;11,02;PSOE;4,76;75,72;4,76;4,39;2,89;1,03;11,02;10,18;89,63;Derecha; PP;47,86
2807905076;Madrid;1705;1511;4;4;88,62;1507;PP;75,71;VOX;12,41;MÁS MADRID;4,51;75,71;2,79;4,51;3,05;0,93;12,41;8,23;91,17;Derecha; PP;51,72
2807904119;Madrid;1026;873;1;0;85,09;873;PP;75,49;VOX;13,4;PSOE;4,35;75,49;4,35;4,12;2,41;0,11;13,4;8,58;91,3;Derecha; PP;56,88
2807916004;Madrid;1471;1260;2;2;85,66;1258;PP;75,2;VOX;11,29;PSOE;5,09;75,2;5,09;3,5;3,9;0,87;11,29;9,46;90,39;Derecha; PP;50,35
2807905068;Madrid;1332;1168;3;0;87,69;1168;PP;75,17;VOX;14,73;Cs;3,34;75,17;3,25;2,4;3,34;0,6;14,73;6,25;93,24;Derecha; PP;54,75
2807904130;Madrid;556;477;0;2;85,79;475;PP;75,16;VOX;12,42;MÁS MADRID;4,42;75,16;3,79;4,42;3,37;0,42;12,42;8,63;90,95;Derecha; PP;51,69
