Cusec,Cusec,Censo Total,Votos Totales,Votos Blancos,Votos Nulos,Votos Válidos,Primera fuerza,% PF,Segunda fuerza,% SF,Tercera fuerza,% TF,% PP,% PSOE,% MÁS MADRID,% Cs,% Podemos,% VOX,Izquierda,Derecha,Bloque Gana,PACMA,MÁS MADRID,PSOE,PH,ULEG,Cs,FE de las JONS,PCAS-TC,PUM+J,P-LIB,PP,PCTE,VOX,UPYD,PODEMOS-IU
2800101001,2800101001,77,70,0,3,67,PP,37.31,Cs,20.9,PSOE,16.42,37.31,16.42,14.93,20.9,7.46,2.99,38.81,61.2,Derecha,0,10,11,0,0,14,0,0,0,0,25,0,2,0,5
2800201001,2800201001,1663,1005,7,3,1002,PP,25.65,PSOE,23.05,Cs,21.86,25.65,23.05,9.28,21.86,4.09,13.67,36.42,61.18,Derecha,9,93,231,0,0,219,2,1,3,0,257,2,137,0,41
2800201002,2800201002,1620,1173,20,9,1164,PSOE,25.86,PP,22.68,Cs,20.36,22.68,25.86,11.25,20.36,3.44,11.77,40.55,54.81,Derecha,19,131,301,1,0,237,5,0,3,0,264,3,137,3,40
2800301001,2800301001,169,140,0,0,140,PSOE,38.57,PP,29.29,Cs,13.57,29.29,38.57,8.57,13.57,2.14,5.71,49.28,48.57,Izquierda,3,12,54,0,0,19,0,0,0,0,41,0,8,0,3
2800401001,2800401001,2083,1171,7,11,1160,PSOE,32.24,PP,25,Cs,16.38,25,32.24,7.5,16.38,4.22,12.93,43.96,54.31,Derecha,10,87,374,0,0,190,0,0,0,1,290,1,150,1,49
2800401002,2800401002,2168,1484,11,9,1475,PSOE,27.66,PP,26.17,VOX,14.51,26.17,27.66,8.95,14.44,5.97,14.51,42.58,55.12,Derecha,12,132,408,3,1,213,2,0,0,1,386,0,214,4,88
2800401003,2800401003,1268,880,1,3,877,PSOE,28.39,PP,27.48,Cs,17.1,27.48,28.39,6.39,17.1,7.41,11.86,42.19,56.44,Derecha,6,56,249,1,0,150,2,0,1,0,241,1,104,0,65
2800401004,2800401004,1040,729,6,3,726,PSOE,31.27,PP,25.48,Cs,16.67,25.48,31.27,10.88,16.67,4.68,9.5,46.83,51.65,Derecha,4,79,227,0,0,121,0,0,0,1,185,0,69,0,34
2800501001,2800501001,1204,848,10,1,847,PP,24.68,PSOE,21.49,Cs,19.6,24.68,21.49,14.99,19.6,4.6,11.33,41.08,55.61,Derecha,9,127,182,1,0,166,5,0,2,0,209,0,96,1,39
2800501002,2800501002,706,477,4,3,474,PSOE,27.64,PP,21.94,Cs,16.67,21.94,27.64,15.61,16.67,8.02,8.23,51.27,46.84,Izquierda,4,74,131,0,0,79,0,0,1,0,104,0,39,0,38
2800501003,2800501003,1251,853,5,5,848,PSOE,30.9,MÁS MADRID,19.69,PP,18.16,18.16,30.9,19.69,14.98,6.37,8.02,56.96,41.16,Izquierda,5,167,262,1,1,127,1,0,0,1,154,0,68,2,54
2800501004,2800501004,987,739,2,9,730,PP,36.85,PSOE,21.92,Cs,17.81,36.85,21.92,9.18,17.81,2.88,9.86,33.98,64.52,Derecha,5,67,160,0,1,130,2,1,0,0,269,0,72,0,21
2800501005,2800501005,1012,704,9,3,701,PP,34.66,PSOE,20.4,Cs,14.69,34.66,20.4,11.13,14.69,4.42,12.27,35.95,61.62,Derecha,4,78,143,0,0,103,2,2,0,0,243,0,86,0,31
2800501006,2800501006,968,703,3,6,697,PSOE,32.42,PP,21.38,Cs,17.36,21.38,32.42,14.2,17.36,6.17,6.89,52.79,45.63,Izquierda,5,99,226,0,0,121,0,0,1,1,149,0,48,1,43
2800501007,2800501007,951,637,1,6,631,PSOE,40.57,Empate Cs - PP,17.59,Empate Cs - PP,17.59,17.59,40.57,8.87,17.59,8.56,4.75,58,39.93,Izquierda,5,56,256,1,0,111,1,2,0,0,111,0,30,3,54
2800501008,2800501008,592,383,3,1,382,PSOE,42.15,Cs,17.02,PP,15.45,15.45,42.15,8.12,17.02,7.07,8.38,57.34,40.85,Izquierda,2,31,161,0,0,65,0,0,0,0,59,0,32,2,27
2800501009,2800501009,814,525,1,5,520,PSOE,46.15,Cs,17.12,PP,13.46,13.46,46.15,10,17.12,5.96,5.19,62.11,35.77,Izquierda,5,52,240,1,0,89,0,0,3,0,70,0,27,1,31
2800501010,2800501010,694,447,3,2,445,PSOE,27.64,Cs,21.35,PP,19.33,19.33,27.64,13.26,21.35,4.27,9.89,45.17,50.57,Derecha,11,59,123,0,0,95,2,1,0,0,86,0,44,2,19
2800501011,2800501011,992,671,0,10,661,PSOE,30.56,PP,26.02,Cs,18.31,26.02,30.56,8.17,18.31,7.87,7.87,46.6,52.2,Derecha,6,54,202,0,0,121,0,0,0,0,172,1,52,1,52
2800501012,2800501012,1375,947,3,3,944,PSOE,28.18,PP,22.99,Cs,20.97,22.99,28.18,8.9,20.97,4.45,12.71,41.53,56.67,Derecha,10,84,266,0,0,198,1,0,0,0,217,0,120,3,42
2800501013,2800501013,674,470,3,1,469,PP,34.54,PSOE,22.6,MÁS MADRID,13.01,34.54,22.6,13.01,12.58,4.9,10.02,40.51,57.14,Derecha,7,61,106,0,0,59,0,0,1,0,162,0,47,0,23
