Year	Carbón negro	Carbón marrón	Ciclo combinado	Gas máximo	Almacenamiento disponible	Energía eólica	Energía fotovoltaica
2021-22	18.336	4820	4.286	6813	582	9005	14730
2022-23	17.861	4820	4.046	6813	1.023	10093	16559
2023-24	15.386	4820	3.866	6813	1.311	10319	17930
2024-25	14.826	4820	3.866	6813	1.765	10444	19861
2025-26	12.106	4120	3.866	6813	1.764	12237	20991
2026-27	11.656	3030	3.866	6813	1.834	14210	21632
2027-28	11.656	1910	3.866	6813	1.997	17161	22451
2028-29	10.956	1535	3.481	6813	2.177	17455	23650
2029-30	10.956	1160	3.481	6813	2.381	18038	24434
2030-31	9.816	1160	3.481	6430	2.579	21200	25096
2031-32	7.776	1160	3.481	6430	2.775	23206	26503
2032-33	5.596	1160	3.481	6196	2.975	27637	27080
2033-34	5.596	1160	3.481	5734	3.188	27519	27890
2034-35	5596	1160	3481	5617	3.425	27663	28606
2035-36	2016	1160	2681	5487	3.694	31457	30690
2036-37	2016	0	2681	5487	3.988	32836	31680
2037-38	2016	0	2152	5487	4.296	35247	32566
2038-39	2016	0	2152	5487	4.634	34638	33158
2039-40	2016	0	1509	5047	5.001	34937	33713
2040-41	2016	0	1509	4927	5.341	35341	35085
2041-42	1272	0	1509	4927	5.702	35293	36571
