cusec;Codmun;Municipio;Provincia;RMH 2018
0100101001;01001;Alegría-Dulantzi;Araba/Álava;
0100101002;01001;Alegría-Dulantzi;Araba/Álava;
0100201001;01002;Amurrio;Araba/Álava;35037
0100201002;01002;Amurrio;Araba/Álava;35037
0100201003;01002;Amurrio;Araba/Álava;35037
0100201004;01002;Amurrio;Araba/Álava;35037
0100201005;01002;Amurrio;Araba/Álava;35037
0100201006;01002;Amurrio;Araba/Álava;35037
0100201007;01002;Amurrio;Araba/Álava;35037
0100301001;01003;Aramaio;Araba/Álava;43440
0100401001;01004;Artziniega;Araba/Álava;33067
0100601001;01006;Armiñón;Araba/Álava;34824
0100801001;01008;Arratzua-Ubarrundia;Araba/Álava;47119
0100901001;01009;Asparrena;Araba/Álava;32198
0101001001;01010;Ayala/Aiara;Araba/Álava;38416
0101001002;01010;Ayala/Aiara;Araba/Álava;38416
0101101001;01011;Baños de Ebro/Mañueta;Araba/Álava;28366
0101301001;01013;Barrundia;Araba/Álava;39195
0101401001;01014;Berantevilla;Araba/Álava;32811
0101601001;01016;Bernedo;Araba/Álava;29665
0101701001;01017;Campezo/Kanpezu;Araba/Álava;27625
0101801001;01018;Zigoitia;Araba/Álava;45709
0101901001;01019;Kripan;Araba/Álava;31403
0102001001;01020;Kuartango;Araba/Álava;31960
0102101001;01021;Elburgo/Burgelu;Araba/Álava;43182
0102201001;01022;Elciego;Araba/Álava;32561
0102301001;01023;Elvillar/Bilar;Araba/Álava;31284
0102701001;01027;Iruraiz-Gauna;Araba/Álava;38399
0102801001;01028;Labastida/Bastida;Araba/Álava;27931
0103001001;01030;Lagrán;Araba/Álava;26729
0103101001;01031;Laguardia;Araba/Álava;32431
0103201001;01032;Lanciego/Lantziego;Araba/Álava;26064
0103301001;01033;Lapuebla de Labarca;Araba/Álava;28670
0103401001;01034;Leza;Araba/Álava;30609
0103601001;01036;Laudio/Llodio;Araba/Álava;33426
0103601002;01036;Laudio/Llodio;Araba/Álava;33426
0103601003;01036;Laudio/Llodio;Araba/Álava;33426
0103601004;01036;Laudio/Llodio;Araba/Álava;33426
0103601005;01036;Laudio/Llodio;Araba/Álava;33426
0103601006;01036;Laudio/Llodio;Araba/Álava;33426
0103601007;01036;Laudio/Llodio;Araba/Álava;33426
0103601008;01036;Laudio/Llodio;Araba/Álava;33426
0103601009;01036;Laudio/Llodio;Araba/Álava;33426
0103601010;01036;Laudio/Llodio;Araba/Álava;33426
0103601011;01036;Laudio/Llodio;Araba/Álava;33426
0103601012;01036;Laudio/Llodio;Araba/Álava;33426
0103601013;01036;Laudio/Llodio;Araba/Álava;33426
0103701001;01037;Arraia-Maeztu;Araba/Álava;35741
0103901001;01039;Moreda de Álava/Moreda Araba;Araba/Álava;28463
0104101001;01041;Navaridas;Araba/Álava;29135
0104201001;01042;Okondo;Araba/Álava;33098
0104301001;01043;Oyón-Oion;Araba/Álava;28044
0104301002;01043;Oyón-Oion;Araba/Álava;28044
0104401001;01044;Peñacerrada-Urizaharra;Araba/Álava;35787
0104601001;01046;Erriberagoitia/Ribera Alta;Araba/Álava;35576
0104701001;01047;Erriberabeitia;Araba/Álava;37257
0104901001;01049;Añana;Araba/Álava;26084
